organization,type,gender,name,link,,,
Hong Kong Rabit Society,Rabbit,F,Vico,https://siuyeo.ng/hkaad20251225,,,
Hong Kong Dog Rescue,Dog,F,Gladys,https://siuyeo.ng/hkaad20251224,,,
SPCA,Dog,M,浩浩,https://siuyeo.ng/hkaad20251223,,,
Paws United Charity,Dog,F,Bridgette,https://siuyeo.ng/hkaad20251222,,,
HKSCDA,Cat,F,Donki,https://siuyeo.ng/hkaad20251221,,,
SAA,Cat,F,Saturday,https://siuyeo.ng/hkaad20251220,,,
HKAAC,Cat,F,Lulu,https://siuyeo.ng/hkaad20251219,,,
HKHERP,Turtle,N/A,紅豆,https://siuyeo.ng/hkaad20251218,,,
Hong Kong Rabit Society,Rabbit,F,Zespri,https://siuyeo.ng/hkaad20251217,,,
Hong Kong Dog Rescue,Dog,M,Wolfie,https://siuyeo.ng/hkaad20251216,,,
SPCA,Cat,F,Sailor,https://siuyeo.ng/hkadd20251215,,,
Paws United Charity,Cat,F,Letty,https://siuyeo.ng/hkaad20251214,,,
HKSCDA,Cat,M,錦小龍,https://siuyeo.ng/hkaad20251213,,,
SAA,Cat,F,Wednesday,https://siuyeo.ng/hkaad20251212,,,
HKAAC,Cat,F,Mimi,https://siuyeo.ng/hkaad20251211,,,
HKHERP,Snake,N/A,AC08,https://siuyeo.ng/hkaad20251210,,,
Hong Kong Rabit Society,Rabbit,F,Mofu,https://siuyeo.ng/hkaad20251209,,,
Hong Kong Dog Rescue,Dog,M,Gallant,https://siuyeo.ng/hkaad20251208,,,
SPCA,Cat,M,Wavey,https://siuyeo.ng/hkaad20251207,,,
Paws United Charity,Dog,F,Holly,https://siuyeo.ng/hkaad20251206,,,
HKSCDA,Cat,F,WINWIN,https://siuyeo.ng/hkadd20251205,,,
SAA,Cat,F,Monday,https://siuyeo.ng/hkaad20251204,,,
HKAAC,Cat,M,亞黃,https://siuyeo.ng/hkaad20251203,,,
HKHERP,Frog,N/A,蛋黃妹,https://siuyeo.ng/hkaad20251202,,,
Hong Kong Rabit Society,Rabbit,M,Reo,https://siuyeo.ng/hkaad20251201,,,
Hong Kong Dog Rescue,Dog,M,Justin,https://siuyeo.ng/hkaad20251130,,,
SPCA,Cat,F,Charlotte,https://siuyeo.ng/hkaad20251129,,,
Paws United Charity,Dog,M,Aaron,https://siuyeo.ng/hkaad20251128,,,
HKSCDA,Cat,F,周生生,https://siuyeo.ng/hkaad20251127,,,
SAA,Cat,F,Sugar,https://siuyeo.ng/hkaad20251126,,,
HKAAC,Dog,M,Billy,https://siuyeo.ng/hkaad20251125,,,
HKHERP,Snake,N/A,阿橙,https://siuyeo.ng/hkaad20251124,,,
Hong Kong Rabit Society,Rabbit,F,Lana,https://siuyeo.ng/hkaad20251123,,,
Hong Kong Dog Rescue,Dog,F,Simone,https://siuyeo.ng/hkaad20251122,,,
SPCA,Dog,M,貝貝,https://siuyeo.ng/hkaad20251121,,,
Paws United Charity,Dog,F,Bridgette,https://siuyeo.ng/hkaad20251120,,,
HKSCDA,Cat,F,金三妹,https://siuyeo.ng/hkaad20251119,,,
SAA,Cat,F,Doddie,https://siuyeo.ng/hkaad20251118,,,
HKAAC,Cat,M,喱喱,https://siuyeo.ng/hkaad20251117,,,
HKHERP,Turtle,N/A,紅豆,https://siuyeo.ng/hkaad20251116,,,
Hong Kong Rabit Society,Rabbit,F,Koaki,https://siuyeo.ng/hkaad20251115,,,
Hong Kong Dog Rescue,Dog,M,Nino,https://siuyeo.ng/hkaad20251114,,,
SPCA,Dog,F,Mia,https://siuyeo.ng/hkaad20251113,,,
Paws United Charity,Dog,F,Rachel,https://siuyeo.ng/hkaad20251112,,,
HKSCDA,Cat,F,金大妹,https://siuyeo.ng/hkaad20251111,,,
SAA,Cat,F,Cody,https://siuyeo.ng/hkaad20251110,,,
HKAAC,Cat,M,亞蝦,https://siuyeo.ng/hkaad20251109,,,
HKHERP,Frog,N/A,蛋黃妹,https://siuyeo.ng/hkaad20251108,,,
Hong Kong Rabit Society,Rabbit,F,Joni,https://siuyeo.ng/hkaad20251107,,,
Hong Kong Dog Rescue,Dog,M,Todd,https://siuyeo.ng/hkaad20251106,,,
